WIDTH  14
HEIGHT 6
COLORS 6 1 3 4 5 6 7 
ROOM   0 0 8 3 0 0 0
ROOM   1 0 1 0 5 1 3
ROOM   1 1 3 3 0 9 0
ROOM   1 2 4 7 0 3 9
ROOM   1 3 5 9 0 5 3
ROOM   1 4 6 3 0 5 0
ROOM   1 5 7 0 0 1 7
ROOM   2 0 3 9 9 1 0
ROOM   2 1 4 0 0 0 9
ROOM   2 2 5 7 0 3 0
ROOM   2 3 6 3 7 5 0
ROOM   2 4 7 7 5 1 0
ROOM   2 5 1 5 0 3 1
ROOM   3 0 4 1 7 0 5
ROOM   3 1 5 0 0 5 0
ROOM   3 2 6 9 3 0 7
ROOM   3 3 7 3 3 5 0
ROOM   3 4 1 0 0 5 9
ROOM   3 5 3 0 3 0 5
ROOM   4 0 5 0 1 5 5
ROOM   4 1 6 1 0 7 3
ROOM   4 2 7 3 3 1 7
ROOM   4 3 1 5 0 9 7
ROOM   4 4 3 7 0 9 7
ROOM   4 5 4 9 7 0 3
ROOM   5 0 6 9 0 5 0
ROOM   5 1 7 0 7 0 9
ROOM   5 2 1 7 3 7 0
ROOM   5 3 3 7 3 7 7
ROOM   5 4 4 3 7 9 7
ROOM   5 5 5 9 0 0 7
ROOM   6 0 7 0 3 5 3
ROOM   6 1 1 3 5 1 5
ROOM   6 2 3 1 5 1 1
ROOM   6 3 4 9 7 3 1
ROOM   6 4 5 9 0 5 7
ROOM   6 5 6 0 0 1 0
ROOM   7 0 1 0 1 0 9
ROOM   7 1 3 0 9 0 9
ROOM   7 2 4 0 9 1 9
ROOM   7 3 5 1 7 7 1
ROOM   7 4 6 5 0 1 9
ROOM   7 5 7 0 0 0 9
ROOM   8 0 3 3 1 5 0
ROOM   8 1 4 9 1 5 5
ROOM   8 2 5 3 9 5 3
ROOM   8 3 6 7 5 5 5
ROOM   8 4 7 5 0 5 3
ROOM   8 5 1 0 0 3 9
ROOM   9 0 4 1 5 0 7
ROOM   9 1 5 3 5 1 3
ROOM   9 2 6 0 0 9 1
ROOM   9 3 7 0 1 3 3
ROOM   9 4 1 9 7 1 0
ROOM   9 5 3 0 1 9 5
ROOM   10 0 5 0 9 7 1
ROOM   10 1 6 5 1 0 5
ROOM   10 2 7 0 0 3 0
ROOM   10 3 1 0 7 0 0
ROOM   10 4 3 0 7 1 1
ROOM   10 5 4 5 9 0 0
ROOM   11 0 6 3 9 3 0
ROOM   11 1 7 3 9 7 7
ROOM   11 2 1 3 7 0 3
ROOM   11 3 3 0 3 1 5
ROOM   11 4 4 7 7 9 1
ROOM   11 5 5 0 0 7 7
ROOM   12 0 7 0 5 9 0
ROOM   12 1 1 3 0 7 9
ROOM   12 2 3 3 0 3 0
ROOM   12 3 4 9 0 5 3
ROOM   12 4 5 9 0 7 9
ROOM   12 5 6 0 1 5 7
ROOM   13 5 9 0 0 5 0
START  0 0
FINISH 13 5
